"ID";"descrizione";"Data";"Tipo_di_costo";"Importo"
"14/128";"GS SPA (DIPERDI')";"2021-12-31";"% variabile MARCHIO";"549,69"
"14/4";"COOP CENTRO ITALIA SOCIETA' COOPERATIVA  ";"2021-12-31";"% variabile MARCHIO";"569,25"
"14/80";"ASPIAG SERVICES SRL            ";"2021-12-31";"% variabile MARCHIO";"11452,140000000003"
"14/126";"MAIORA SRL   ";"2021-12-31";"% variabile MARCHIO";"1426,1800000000003"
"14/92";"GS SPA (Carrefour Terre Italia)";"2020-03-31";"%variabile PL";"887,91"
"14/62";"RIALTO SPA SOCIETA' A SOCIO UNICO     ";"2020-03-31";"%variabile PL";"1152,97"
"14/89";"DI GENNARO FEINKOST-UND WEINHANDELSGESELLSCHAFT MBH";"2020-03-31";"%variabile PL";"572,7"
"14/91";"PENNY MARKET SRL CON SOCIO UNICO ";"2020-03-31";"%variabile PL";"893,17"
"14/92";"GS SPA (Carrefour Terre Italia)";"2021-03-31";"%variabile PL";"887,91"
"14/62";"RIALTO SPA SOCIETA' A SOCIO UNICO     ";"2021-03-31";"%variabile PL";"1152,97"
"14/89";"DI GENNARO FEINKOST-UND WEINHANDELSGESELLSCHAFT MBH";"2021-03-31";"%variabile PL";"572,7"
"14/91";"PENNY MARKET SRL CON SOCIO UNICO ";"2021-03-31";"%variabile PL";"893,17"
"14/92";"GS SPA (Carrefour Terre Italia)";"2020-06-30";"%variabile PL";"587,7900000000001"
"14/62";"RIALTO SPA SOCIETA' A SOCIO UNICO     ";"2020-06-30";"%variabile PL";"2622,7799999999997"
"14/89";"DI GENNARO FEINKOST-UND WEINHANDELSGESELLSCHAFT MBH";"2020-06-30";"%variabile PL";"671,9000000000001"
"14/91";"PENNY MARKET SRL CON SOCIO UNICO ";"2020-06-30";"%variabile PL";"657,42"
"14/143";"APULIA DISTRIBUZIONE";"2020-06-30";"%variabile PL";"294,64"
"14/92";"GS SPA (Carrefour Terre Italia)";"2021-06-30";"%variabile PL";"587,7900000000001"
"14/62";"RIALTO SPA SOCIETA' A SOCIO UNICO     ";"2021-06-30";"%variabile PL";"2622,7799999999997"
"14/89";"DI GENNARO FEINKOST-UND WEINHANDELSGESELLSCHAFT MBH";"2021-06-30";"%variabile PL";"671,9000000000001"
"14/91";"PENNY MARKET SRL CON SOCIO UNICO ";"2021-06-30";"%variabile PL";"657,42"
"14/143";"APULIA DISTRIBUZIONE";"2021-06-30";"%variabile PL";"294,64"
"14/92";"GS SPA (Carrefour Terre Italia)";"2020-09-30";"%variabile PL";"523,2199999999998"
"14/62";"RIALTO SPA SOCIETA' A SOCIO UNICO     ";"2020-09-30";"%variabile PL";"707,6599999999999"
